Molecule ChEMBL ID,Smiles,Standard Value,Standard Units,pIC50,Mol,MolWt,LogP,TPSA,HBD,HBA,RotBonds
CHEMBL3683826,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,56.8,nM,7.25,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558580>,440.8090000000002,3.328800000000001,98.83,2,6,5
CHEMBL3683828,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1,76.3,nM,7.12,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45585F0>,407.35200000000015,2.0704000000000002,111.72,2,7,5
CHEMBL3683830,NC1=N[C@@](c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,24.7,nM,7.61,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558660>,455.2340000000001,3.4293000000000022,89.6,2,5,4
CHEMBL3688818,CC(C)c1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,134.0,nM,6.87,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45586D0>,443.42900000000014,3.661880000000002,113.39,2,6,5
CHEMBL3688821,COc1cc(C#N)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,81.0,nM,7.09,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558740>,429.8390000000002,2.7657800000000012,122.61999999999999,2,7,5
CHEMBL3688825,[C-]#[N+]c1cnc2c(c1)CC[C@H]2Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,108.1,nM,6.97,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45587B0>,413.4030000000001,4.0646900000000015,76.89,2,5,4
CHEMBL3693250,NC1=N[C@@](c2cc(-n3cc(C#CC4CC4)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,8625.0,nM,5.06,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558820>,386.377,2.9667000000000012,65.42999999999999,1,4,3
CHEMBL3703231,COc1cccnc1Nc1ccc2c(c1)C1(COC(N)=N1)C1(COC1)CO2,3750.0,nM,5.43,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558890>,368.3930000000002,1.783,100.22,2,8,3
CHEMBL3703258,NC1=NC2(CO1)c1cc(-c3cncc(C4CC4)c3)ccc1OCC21CC1,3690.0,nM,5.43,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558900>,347.4180000000002,3.3388000000000018,69.73,1,5,2
CHEMBL3703253,CC1(C)Oc2ccc(-c3cncnc3)cc2C2(COC(N)=N2)C12COC2,397.0,nM,6.4,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558970>,352.3940000000002,1.8713999999999995,91.85000000000001,1,7,1
CHEMBL3703269,NC1=NC2(CO1)c1cc(-c3cncc(F)c3)ccc1OC1(CCC1)C21COC1,1750.0,nM,5.76,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45589E0>,381.40700000000027,2.7596000000000016,78.96000000000001,1,6,1
CHEMBL3703228,C#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)CO3)c1,519.0,nM,6.29,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558A50>,347.37400000000014,1.6790999999999998,78.96000000000001,1,6,1
CHEMBL3654216,Cn1ccc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)n1,183.0,nM,6.74,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558AC0>,364.4210000000001,2.7329000000000008,65.43,1,5,2
CHEMBL3691366,NC1=N[C@@]2(c3ccccc3)COCC[C@H]2CS1,10400.0,nM,4.98,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558B30>,248.3509999999999,1.9799000000000002,47.61,1,4,1
CHEMBL3691374,NC1=N[C@@]2(c3ccccc3F)CO[C@@H](COc3ncccn3)C[C@H]2CS1,8030.0,nM,5.09,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558BA0>,374.44100000000003,2.356600000000001,82.62,1,7,4
CHEMBL3691364,NC1=N[C@@]2(c3ccccc3F)COCC[C@H]2CS1,7950.0,nM,5.1,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558C10>,266.3409999999999,2.1190000000000007,47.61,1,4,1
CHEMBL3672695,CC1=N[C@]2(N=C1N)c1cc(OCCCF)ccc1C[C@]21CC[C@@H](OC(F)F)CC1,3.0,nM,8.52,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558C80>,409.45200000000017,4.1338000000000035,69.2,1,5,6
CHEMBL4077530,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC(C)(C)C)[C@H](C)N1.Cl,79.0,nM,7.1,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558CF0>,450.9540000000001,2.5604,79.82000000000001,3,5,7
CHEMBL4085364,[2H]C1([2H])OC(N)=N[C@]12c1cc(-c3cncnc3)ccc1C[C@@]21C[C@@H](C)[C@H](OC)[C@@H](C)C1,1.5,nM,8.82,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558D60>,394.5152035560002,3.3073000000000023,82.62,1,6,2
CHEMBL3673194,NC1=N[C@@]2(c3cc(CNCC(F)(F)F)c(F)cc3F)CO[C@@H](CF)C[C@H]2CS1,77.0,nM,7.11,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558DD0>,427.41400000000016,3.2481000000000027,59.64,2,5,5
CHEMBL4095483,Fc1ccc(-c2cnc(-c3cccc(-c4cnc(-c5c[nH]c6cc(OC(F)(F)F)ccc56)[nH]4)c3)[nH]2)cc1,180.0,nM,6.75,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558E40>,503.45900000000006,7.319800000000003,82.38,3,3,5
CHEMBL1221977,CN(C(=O)CCCn1c(N)nc2cc(Cl)ccc21)C1CCCCC1,26000.0,nM,4.58,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558EB0>,348.87800000000027,3.843200000000002,64.15,1,3,5
CHEMBL1222238,CC[C@@H](CC(=O)NCC1CC1)n1c(N)nc2cc(Cl)ccc21,243000.0,nM,3.61,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558F20>,320.824,3.1393000000000004,72.94,2,3,6
CHEMBL1222301,CC[C@@H](CC(=O)NCCC(C)(C)C)n1c(N)nc2cc(Cl)ccc21,95000.0,nM,4.02,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4558F90>,350.89400000000006,4.165500000000002,72.94,2,3,6
CHEMBL1222368,CC[C@@H](CC(=O)N[C@@H](COC(C)(C)C)C(=O)O)n1c(N)nc2cc(Cl)ccc21,87000.0,nM,4.06,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559000>,410.9020000000001,2.9976000000000003,119.47,3,5,8
CHEMBL1221454,CC(C)C[C@@H](CC(=O)NCc1cccc(F)c1)n1c(N)nc2cc(Cl)ccc21,54000.0,nM,4.27,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559070>,402.9010000000001,4.704700000000003,72.94,2,3,7
CHEMBL508791,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,2210.0,nM,5.66,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45590E0>,742.5540000000003,7.621099999999999,287.14,11,18,6
CHEMBL1092475,CN1C(=O)C(c2ccncc2)(c2cccc(-c3cccc(C#N)c3)c2)N=C1N,40.0,nM,7.4,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559150>,367.41200000000015,2.6505799999999997,95.36999999999999,1,5,3
CHEMBL1092787,CN1C(=O)C(c2ccncc2)(c2cccc(-c3cc(F)ccc3F)c2)N=C1N,50.0,nM,7.3,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45591C0>,378.3820000000001,3.057100000000001,71.58,1,4,3
CHEMBL4066885,C[C@@]1(c2cc(CNCC(F)F)c(F)cc2F)CCSC(N)=N1,5890.0,nM,5.23,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559230>,335.37000000000006,2.986300000000001,50.41,2,4,5
CHEMBL4091480,Cc1ccc(NCc2cc([C@]3(C)CCSC(N)=N3)c(F)cc2F)nc1,73500.0,nM,4.13,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45592A0>,362.449,3.9471200000000026,63.3,2,5,4
CHEMBL585286,CCCCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,870.96,nM,6.06,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559310>,395.54700000000014,4.063900000000002,67.92,1,4,6
CHEMBL260834,CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1,430.0,nM,6.37,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559380>,564.6770000000001,4.034300000000003,93.69999999999999,4,4,11
CHEMBL206442,O=C(Nc1cc(Br)ccc1N1CCN(Cc2ccccc2)CC1)c1cc2ccccc2oc1=O,760.0,nM,6.12,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45593F0>,518.4110000000003,5.130000000000004,65.79,1,5,5
CHEMBL3973828,COC1CCC2(CC1)Oc1ccccc1C21N=C(N)N(C)C1=O,1198.0,nM,5.92,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559460>,315.3730000000001,1.3888,77.15,1,5,1
CHEMBL3894131,COC1CCC2(CC1)Cc1ccc(-c3cccc(Cl)c3)cc1C21N=C(N)N(C(C)C)C1=O,53.2,nM,7.27,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45594D0>,451.9980000000003,4.899100000000004,67.92,1,4,3
CHEMBL3894277,COC1CCC2(CC1)Cc1ccc(F)cc1C21N=C(N)N(C)C1=O,79.8,nM,7.1,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559540>,331.39100000000013,1.9392,67.92,1,4,1
CHEMBL5192629,NC1=N[C@](CF)(c2cc(-c3cnc(OCF)cn3)ccc2F)CCC1(F)F,8.9,nM,8.05,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45595B0>,386.32400000000007,3.5396000000000027,73.39,1,5,5
CHEMBL3922254,COC1CCC2(CC1)Cc1ccc(Br)cc1C21NC(=S)N(C2CCOCC2)C1=O,80.5,nM,7.09,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559620>,479.44000000000034,3.6716000000000024,50.800000000000004,1,4,2
CHEMBL3907602,COC1CCC2(CC1)Cc1ccc(-c3cnc(C)s3)cc1C21N=C(N)N(C)C1=O,14.0,nM,7.85,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559690>,410.5430000000002,3.2320200000000003,80.81,1,6,2
CHEMBL3656227,COCCN1C(=O)C2(N=C1N)c1cc(Cl)ccc1C[C@]21CC[C@@H](OC)CC1,88.0,nM,7.06,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559700>,391.8990000000003,2.4701000000000004,77.15,1,5,4
CHEMBL3703307,N#Cc1ncccc1-c1ccc2c(c1)C1(COC(N)=N1)C1(COC1)C1(CCC1)O2,1100.0,nM,5.96,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559770>,388.42700000000025,2.4921800000000003,102.75,1,7,1
CHEMBL3703244,NC1=NC2(c3cc(Br)ccc3OCC23CC3)c2cccc(F)c21,46900.0,nM,4.33,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45597E0>,373.2250000000001,3.7233000000000027,47.61,1,3,0
CHEMBL3703255,CC#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)CO3)c1,157.0,nM,6.8,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559850>,361.4010000000001,2.0691999999999995,78.96000000000001,1,6,1
CHEMBL3703268,CC#Cc1cncc(-c2ccc3c(c2)C2(CSC(N)=N2)C2(COC2)CO3)c1,345.0,nM,6.46,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45598C0>,377.46900000000016,2.785800000000001,69.73,1,6,1
CHEMBL3650779,CC1(C)Oc2ccc(-c3cc(F)cc(F)c3)cc2C2(COC(N)=N2)C12COC2,621.0,nM,6.21,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559930>,386.39800000000025,3.359600000000002,66.07000000000001,1,5,1
CHEMBL3650785,CC1(C)Oc2ccc(-c3cc(F)cnc3Cl)cc2C2(COC(N)=N2)C12COC2,1130.0,nM,5.95,<rdkit.Chem.rdchem.Mol object at 0x000001D5A45599A0>,403.8410000000003,3.268900000000002,78.96000000000001,1,6,1
CHEMBL3650789,Cc1cc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C(C)(C)O3)cnc1F,2800.0,nM,5.55,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559A10>,383.42300000000006,2.9239200000000016,78.96000000000001,1,6,1
CHEMBL3650809,CC1(C)Oc2ccc(-c3ccc4nonc4c3)cc2C2(COC(N)=N2)C12COC2,1150.0,nM,5.94,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559A80>,392.41500000000025,2.6176000000000004,104.99000000000001,1,8,1
CHEMBL3650826,Cc1cc(Cl)cnc1C(=O)Nc1ccc2c(c1)C1(COC(N)=N1)C1(COC1)C(C)(C)O2,109.0,nM,6.96,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559AF0>,442.90300000000036,3.0235200000000013,108.06,2,7,2
CHEMBL3650827,N#Cc1ccc(C(=O)Nc2ccc3c(c2)C2(COC(N)=N2)C2(CC2)CO3)nc1,380.0,nM,6.42,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559B60>,375.38800000000015,1.9183799999999998,122.62,2,7,2
CHEMBL3962090,COC1CCC2(CC1)Cc1ccc(N3CCCC3)cc1C21N=C(N)N(C)C1=O,144.7,nM,6.84,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559BD0>,382.50800000000015,2.4003000000000005,71.16,1,5,2
CHEMBL3920879,COC1CCC2(CC1)Cc1ccc(OC(F)(F)C(F)F)cc1[C@@]21N=C(N)N(C)C1=O,495.6,nM,6.3,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559C40>,429.41400000000016,3.0368000000000013,77.15,1,5,4
CHEMBL3981217,COC1CCC2(CC1)Cc1ccc(OC(F)F)cc1C21N=C(N)N(C)C1=O,55.4,nM,7.26,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559CB0>,379.40700000000015,2.4015000000000004,77.15,1,5,3
CHEMBL3893673,[C-]#[N+]c1ccc2c(c1)[C@@]1(N=C(C)C(N)=N1)[C@@]1(C2)C[C@@H](C)[C@H](O)[C@@H](C)C1,37.0,nM,7.43,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559D20>,336.439,3.1912900000000013,75.33,2,4,0
CHEMBL3927865,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@@]2(C3)C[C@@H](C)[C@H](OC)[C@@H](C)C2)c1,8.2,nM,8.09,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559D90>,440.59100000000024,4.728000000000004,72.86,1,5,2
CHEMBL3703233,CC1(C)Oc2ccc(NC(=O)c3ccc(F)cn3)cc2C2(COC(N)=N2)C12COC2,154.0,nM,6.81,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559E00>,412.4210000000003,2.2008,108.06,2,7,2
CHEMBL4473740,CN(C)C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)cc(F)c1F)N=C(N)S2,0.4,nM,9.4,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559E70>,479.9400000000001,3.389100000000001,100.67999999999999,2,6,4
CHEMBL373533,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(I)c2)c1,5.0,nM,8.3,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559EE0>,677.5740000000002,5.6318200000000065,81.67,3,4,14
CHEMBL253165,CCCCN(CCCC)S(=O)(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(OC)c1,130.0,nM,6.89,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559F50>,547.7620000000002,3.495300000000001,107.97000000000001,3,6,19
CHEMBL190644,CCOCCCNC(=O)c1cc(NC(=O)Nc2cccc(Cl)c2)ccc1N(C)C,97.0,nM,7.01,<rdkit.Chem.rdchem.Mol object at 0x000001D5A4559FC0>,418.9250000000002,4.206400000000003,82.7,3,4,9
CHEMBL1770312,CC(C)=CCc1c(-c2ccc(O)c3c2OC(C)(C)C=C3)oc2cc(O)cc(O)c2c1=O,5300.0,nM,5.28,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A030>,420.4610000000002,5.269700000000006,100.13,3,6,3
CHEMBL566415,CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)OCO3)N=C1N,250.0,nM,6.6,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A0A0>,386.4110000000002,2.5076,90.04,1,6,3
CHEMBL461660,CS(=O)(=O)Nc1cc(Nc2cc(-c3ccccc3)ncn2)ccc1Cl,16000.0,nM,4.8,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A110>,374.85300000000007,3.9121000000000024,83.98,2,5,5
CHEMBL511187,CS(=O)(=O)Nc1cc(Nc2cc(-c3ccccc3)ncn2)ccc1Br,30000.0,nM,4.52,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A180>,419.3040000000001,4.021200000000002,83.98,2,5,5
CHEMBL5184228,C[C@@]1(c2cc(-c3cc4c(cn3)OC(F)(F)O4)ccc2F)CC[C@@](C)(S(=O)(=O)C(F)(F)F)C(N)=N1,5.9,nM,8.23,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A1F0>,509.42800000000017,4.268700000000003,103.87,1,7,3
CHEMBL1088138,CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc2c(c1)OCO2,8070.0,nM,5.09,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A260>,553.7000000000002,3.446600000000002,125.99000000000001,4,6,14
CHEMBL411711,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cccc(-c2nn[nH]n2)c1,3.3,nM,8.48,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A2D0>,772.8720000000003,-0.23999999999999194,300.66999999999996,9,13,18
CHEMBL1917906,CCCOc1cccc2c1CNC([C@@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)[C@H](CCc1ccccc1)N1CC[C@](NC(C)=O)(C(C)CC)C1=O)C2,17.0,nM,7.77,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A340>,718.8859999999997,5.011000000000005,120.0,4,6,16
CHEMBL1917907,CCC(C)[C@@]1(NC(C)=O)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C2Cc3cccc(OC)c3CN2)C1=O,4.0,nM,8.4,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A3B0>,690.8319999999999,4.230800000000003,120.0,4,6,14
CHEMBL1917910,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2Cc3ccccc3CN2)c1,1100.0,nM,5.96,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A420>,549.6620000000001,4.643500000000004,81.67,3,4,11
CHEMBL1916165,CCC(C)[C@@]1(NC(C)=O)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)C1=O,12.0,nM,7.92,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A490>,704.8589999999999,4.455000000000004,120.0,4,6,16
CHEMBL1916315,C[C@H](CC(=O)[C@@]1([C@H](C)C(=O)O)CO1)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@@H](OC(=O)CC(=O)O)C(C)(C)[C@@H]1CC3,14200.0,nM,4.85,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A500>,586.7660000000002,6.2072000000000065,130.5,2,6,9
CHEMBL1915980,CCCC[C@H]1CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)C1=O,60.0,nM,7.22,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A570>,531.6440000000002,3.5786000000000016,90.9,3,5,14
CHEMBL1915981,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](C)N2CC[C@H](C(C)C)C2=O)c1,170.0,nM,6.77,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A5E0>,517.6170000000003,3.0444000000000013,90.9,3,5,12
CHEMBL2047892,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)c(OC(F)(F)F)c3)[C@@H]2O)c1,1120.0,nM,5.95,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A650>,500.58300000000014,3.5713000000000017,101.65,3,6,6
CHEMBL2047898,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc4[nH]cc(CC(F)F)c4c3)[C@@H]2O)c1,55.0,nM,7.26,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A6C0>,504.64300000000014,4.379400000000004,82.19,3,4,7
CHEMBL2047899,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc4[nH]cc(CC(F)(F)F)c4c3)[C@@H]2O)c1,2060.0,nM,5.69,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A730>,522.6330000000002,4.676600000000004,82.19,3,4,6
CHEMBL1817734,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@H](C)c1ccccc1,39.6,nM,7.4,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A7A0>,792.9100000000003,0.8212000000000074,257.4699999999999,9,9,18
CHEMBL3653341,C[C@@]1(c2cccc(NC(=O)c3ccc(Br)cn3)c2)COCC(N)=N1,70.0,nM,7.16,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A810>,389.25300000000016,2.699,89.6,2,5,3
CHEMBL510269,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCCC2CCN(Cc3ccccc3)CC2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,567.0,nM,6.25,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A880>,739.9830000000002,5.1673000000000044,131.07999999999998,4,7,17
CHEMBL2408787,CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cncnc3)cc1C21C=C(F)C(N)=N1,1.1,nM,8.96,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A8F0>,378.45100000000014,3.694600000000002,73.39,1,5,2
CHEMBL2059329,OC(CSc1ccc2ccccc2c1)Cn1ccc2ccccc21,10500.0,nM,4.98,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A960>,333.4560000000001,4.947700000000004,25.16,1,2,5
CHEMBL2403767,CN1CC(N)=NC(C)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)C1,32.0,nM,7.5,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455A9D0>,357.8450000000001,2.5051000000000005,83.61,2,5,3
CHEMBL264322,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)c(F)c(N2CCCCS2(=O)=O)c1,14.0,nM,7.85,<rdkit.Chem.rdchem.Mol object at 0x000001D5A455AA40>,598.7410000000003,3.6879000000000017,120.0,4,7,13
